Murcko_scafold,count,source
c1ccc(CNc2ccnc3cc(-c4ccccc4)nn23)cc1,7,RNA non-binders
O=C(C[C@@H]1Nc2ccccc2NC1=O)Nc1ccccc1,7,RNA non-binders
c1ccc(CNc2ccncn2)cc1,7,RNA non-binders
O=C1OCC2=C1[C@]1(C=CN2c2ccccc2)C(=O)Nc2ccccc21,7,RNA non-binders
c1ncc2c3c(sc2n1)CCCC3,7,RNA non-binders
c1ccc(CNCc2ccc3c(c2)OCO3)cc1,7,RNA non-binders
O=C(Cn1cc(C(=O)NCCc2ccccc2)nn1)Nc1ccccc1,7,RNA non-binders
c1ccc(-c2cn3c(nc4ccccc43)[nH]2)cc1,7,RNA non-binders
c1ccc(NCc2nc3ncccn3n2)cc1,7,RNA non-binders
O=C(NCc1ccccc1)c1ccccc1,7,RNA non-binders
O=C(Nc1ccccc1)N1CCCCC1,7,RNA non-binders
c1ccc(CNc2nc3ccccc3n3cnnc23)cc1,7,RNA non-binders
C=C1C2=C(CCCC2)S/C1=N\C(=O)c1ccccc1,7,RNA non-binders
C1=C[C@@H](c2ccccc2)c2ccc3ccccc3c2O1,7,RNA non-binders
c1ccc(CN2CCC(N3CCNCC3)CC2)cc1,7,RNA non-binders
c1ccc(CCNc2ccncn2)cc1,7,RNA non-binders
c1ccc(Cn2ccnn2)cc1,7,RNA non-binders
c1ccc(-c2nc3nccc(N4CCNCC4)n3n2)cc1,7,RNA non-binders
N=c1[nH]c2ccccc2[nH]1,7,RNA non-binders
c1ccc(-c2cnn3c(NCCN4CCOCC4)ccnc23)cc1,7,RNA non-binders
O=C(Nc1ccccc1)c1cnn2c1N[C@@H](c1ccccc1)CC2,7,RNA non-binders
O=C1C=C(C(=O)c2ccccc2)[C@@H](c2ccccc2)N1,7,RNA non-binders
c1ccc(N2CCCCC2)nc1,7,RNA non-binders
c1ccc(CNc2cc(-c3ccccc3)nc3nncn23)cc1,7,RNA non-binders
S=c1nc(-c2ccccc2)[nH]c2c1Cc1ccncc1O2,7,RNA non-binders
c1cc(N2CCNCC2)ncn1,7,RNA non-binders
O=c1[nH]c(=O)c2[nH]c(CN3CCNCC3)nc2[nH]1,7,RNA non-binders
c1ccc(CN2CCCC2)cc1,7,RNA non-binders
O=C1C[C@@H](c2nc3ccccc3n2CCCOc2ccccc2)CN1,7,RNA non-binders
c1ccc(-c2nn3cnnc3s2)cc1,7,RNA non-binders
c1ccc(CNCCC2CCOCC2)cc1,7,RNA non-binders
c1ccc(CNc2nccc(-c3ccccc3)n2)cc1,7,RNA non-binders
C1=CC(c2cccs2)C=CO1,7,RNA non-binders
c1ccc(-c2ccnc3c2CCCCC3)cc1,7,RNA non-binders
O=C1C=C[C@@H](c2ccccc2)N1,7,RNA non-binders
c1ccc2c(CCN3CCCCC3)c[nH]c2c1,7,RNA non-binders
c1ccc(N2CCN(CCc3ccc4c(c3)CCN4)CC2)cc1,7,RNA non-binders
O=S1(=O)CCC2=C1[C@@H](c1ccccc1)C=CN2c1ccccc1,7,RNA non-binders
O=S(=O)(N[C@@H]1CCCC[C@@H]1Nc1ccccc1)c1ccccc1,7,RNA non-binders
O=S1(=O)C2=C(OC=C[C@@H]2c2cccnc2)c2ccccc2N1Cc1ccccc1,7,RNA non-binders
c1ccc(-c2ccon2)cc1,7,RNA non-binders
O=c1ccn2cnnc2[nH]1,7,RNA non-binders
O=C(Nc1ccccc1)c1cc2ccc(-c3ccccc3)nc2s1,7,RNA non-binders
c1ccc(Nc2ccnc3nncn23)cc1,7,RNA non-binders
c1ccc(CNc2ccccn2)cc1,7,RNA non-binders
c1ccc(-c2ncc[nH]2)cc1,7,RNA non-binders
c1ccc(-c2cnn(-c3ccccc3)c2)cc1,7,RNA non-binders
