CSK_scafold,count,source
C1CCC(C(C2CCCCC2)C2CCCCC2)CC1,2,RNA binders
C1CCC2CC(C3CCCC4CCCC43)CCC2C1,2,RNA binders
C(CCCCC1CCCCC1)CCCC1CCCCC1,2,RNA binders
C1CCC(C2CCCC2CCCC2CCCC2)CC1,2,RNA binders
C1CCC(C2CCC3(CCC4CCCCC43)C3CCCC23)CC1,2,RNA binders
C1CCC(C2CCC(CC3CCCC4CCCCC43)CC2)CC1,2,RNA binders
C1CC2CCC(C3CCCC4CCCCC43)CC2C1,2,RNA binders
C1CCC(C2CCC3CCCC32)CC1,2,RNA binders
C1CCC(CC2CCCC(C3CCC(CC4CCCC4)CC3)C2)CC1,2,RNA binders
C1CCC(CCC2CCC(CCC3CCCCC3)CC2)CC1,2,RNA binders
C1CCC(C2CC3CCCCC3C(C3CCCCC3)C2)CC1,2,RNA binders
C1CCC(CCCCC2C3CCCCC3CC2C2CCCC2)CC1,2,RNA binders
C1CCC(C2CC3CCCCC3CC3CCCCC32)CC1,1,RNA binders
NCCCCNCCCN,1,RNA binders
C1CCC1,1,RNA binders
C1CCC2C(C1)CCC1C3CCCC3CCC21,1,RNA binders
C1CCC(C2CCC(C3CCCC3C3CCCCC3)CC2)CC1,1,RNA binders
C1CCC(CC2CCCCC2C2CCC(C3CCCCC3)C2)CC1,1,RNA binders
C1CCC2CC(CCCCCC3CCCCC3C3CCCC3)CC2CC1,1,RNA binders
C1CCC(CCC2CCC(CC3CCC(CCC4CCCCC4)CC3)CC2)CC1,1,RNA binders
C1CCC(CC2CCC(C3CCC4CCCC4C3)CC2)CC1,1,RNA binders
C1CCC(CC2CCCCC2CCC2CCCCC2)CC1,1,RNA binders
C1CCC(C2CCCC(C3CCC4CCCCC4C3)C2)CC1,1,RNA binders
C1CCC(CCC2CCCC3CC(CC4CCCCC4)CC23)CC1,1,RNA binders
C1CCC(C2CCC3CCCC(C4CCC5CCCC5C4)C32)CC1,1,RNA binders
C1CCC(CC2CCCC2C2CC3CCCCC3C2)C1,1,RNA binders
C1CCCC(CC2CCC(CCC3CCCC3)C2)CC1,1,RNA binders
C1CCCC(CCCC2CCC2C2CCCCC2)CC1,1,RNA binders
C1CCC(CCC2CCC3CCC(C4CCCC4)CC23)CC1,1,RNA binders
C1CCC(CCCCCCC2CCCCC2)CC1,1,RNA binders
C1CCC2C3CCCCC3C3CCCC(C1)C23,1,RNA binders
C(CCC1CCCC1)CCC1CCC(C2CCCC2)C1,1,RNA binders
C1CC2CCC3C4CCCCC4CC3C(C3CCC4CC5CCC6CCCC7CCC5(C4C3)C67)CC(C1)C2,1,RNA binders
C1CC(CCC2CCC3CCCC3C2)CC(CCC2CCCC3CCCCC32)C1,1,RNA binders
C1CCC(CCCC2(C3CCCCC3)CCCCC2)CC1,1,RNA binders
C1CC2CCC1CC2,1,RNA binders
C1CCC(CCCCC(C2CCCCC2)C2CCCCC2)CC1,1,RNA binders
C1CCC(CCCC2C(CCC3CCCCC3)CC3CCCCC32)CC1,1,RNA binders
C1CCCC(CC2CCC2C2CCCCC2)CC1,1,RNA binders
C1CC2CCC(CC3CCC4(CCC4)CC3)CC2C1,1,RNA binders
C1CCC(C2CCC(C3CCC4CCCCC43)CC2)CC1,1,RNA binders
C1CCC(CCC2CCC(CC3CCCC3)C2)C1,1,RNA binders
C1CCC(C2CCC(CCCCC3CCCC3)CC2)CC1,1,RNA binders
C1CC2CCCC3CCCC(C1)C23,1,RNA binders
C1CCC(C2CC3CCCCC3C(CCC3CCC4CCCCC4C3)C2)CC1,1,RNA binders
C(CCCC1C(CCC2CCCCC2)CCC2CCCCC21)CCC1CCCC1,1,RNA binders
C1CCC2CC(CCCC3CCC(C4CCCC4)CC3)CC2CC1,1,RNA binders
C1CCC(C2CCC3CCCC4CCCC2C43)CC1,1,RNA binders
