CSK_scafold,count,source
C1CCC(CC(CCC(CC2CCCCC2)C(CCC2CCCC2)CC2CCCCC2)C2CCCCC2)CC1,9,Zinc dark matter
C1CCC(CC2CCC3CCCCC32)C1,9,Zinc dark matter
C1CCC(C2CCC(CCCCC3CCCC3)CC2)CC1,9,Zinc dark matter
C(CCCC1CCCC2CCCCC12)CCC1CCCCC1,9,Zinc dark matter
C1CCC(C2C3CC4CCCCC4CC3CC2C2CCCC2)CC1,9,Zinc dark matter
C1CCC(C2CC3CCCCC3C3CCCCC23)CC1,9,Zinc dark matter
C1CCC(CCCC2CC(CC3CCCCC3)CC2C2CCCCC2)CC1,9,Zinc dark matter
C1CCC(CC2CCCCC2CCCC2CCCC2)CC1,9,Zinc dark matter
C1CCC(CCC2CCCC3CC(C4CCCCC4)CCC23)CC1,9,Zinc dark matter
C1CCC(CCCCCC2CCCC3CCCCC23)CC1,9,Zinc dark matter
C1CCC(CCCCC2CCC(C3CCCCC3)C2C2CCCC2C2CCCCC2)CC1,9,Zinc dark matter
C1CCC(C2CCCC2CCCCCC2CCCC2)CC1,9,Zinc dark matter
C1CCCCCC1,9,Zinc dark matter
C1CCC(CCCCC2CCC3CCCCC23)C1,9,Zinc dark matter
C1CCC(CC2CC(C3CCCCC3)C(C3CCCCC3)C2)CC1,9,Zinc dark matter
C1CCC(CCCCC2CCC(CC3CCCC3)CC2)CC1,9,Zinc dark matter
C1CCC(CCCCC2CCC(C3CCCC3)C2)C1,9,Zinc dark matter
C1CCC(C2CCC(CCCC3CCCC4CCCCC43)C2)CC1,9,Zinc dark matter
C1CCC(CCC2CCC(C3CC4CCCCC4C3)C2)CC1,9,Zinc dark matter
C1CCC(CCCCC2CC3CCC2C3)CC1,9,Zinc dark matter
C1CCC(CCCC2CCCC2CC2CCCCC2)CC1,9,Zinc dark matter
C1CCC(CCCC2CCCCC2C2CCCCC2)CC1,9,Zinc dark matter
C1CCC(C2CCC(C3CC4CCCCC4C3)C2)CC1,9,Zinc dark matter
